OBJECTID,State,Abbr,Region,EMA+E:GC,EMAC Description,IMAS,IMAS Description,EMAC Public/Private,IMAS Public,IMAS Private,Private/Volunteer Responder In-State Benefits & Protections,Engineer,Architect
37,Alaska,AK,10,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State authorizes creation of an emergency response corps consisting of volunteers who register with the state and agree to be trained in techniques for emergency and disaster response and to be available on short notice to carry out responsibilities of the corps under an applicable incident command system. An emergency responder holding a license, certificate, or other permit issued by an Alaska state agency, or a political subdivision of Alaska, evidencing the responder's qualification in a professional, mechanical, or other skill shall be considered to be licensed, certified, or permitted in the requesting political subdivision during the emergency, disaster, drill, or exercise, subject to limitations and conditions prescribed by the principal executive officer of the requesting political subdivision in writing.","Under Alaska Intrastate Mutual Aid laws (Alaska Statutes Secs. 26.23.500 to 26.23.549), all persons responding under the operational control of the requesting political subdivision are considered to be agents of the requesting political subdivision for purposes of liability;
an action (lawsuit) for damages for an act or omission may not be brought against a responding political subdivision, or an officer or employee (the statute does not clarify whether agents are considered employees in this context) of a responding political subdivision, in providing assistance under those laws; however, the Alaska IMAS laws do not preclude liability for civil damages that are the result of gross negligence or reckless or intentional misconduct. Any person providing equipment or services at the request of a governmental agency during a state of emergency declared by an authorized representative of the state or local government is not liable for harm to persons or property caused by that person's actions, except when the trier of facts (judge or jury in a court proceeding) finds that the person acted intentionally, recklessly, or with gross negligence.",No,No
23,Alabama,AL,4,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State utilizes individual compacts.,"State broadly defines “Emergency Services” as all activities, other than functions for which military forces or other federal agencies are primarily responsible, to minimize damage resulting from disasters, and explicitly includes engineering. State defines “Emergency Management Worker” to include any full- or part-time paid, volunteer, or auxiliary employee of any agency or organization performing emergency management services in the state subject to the order or control of, or pursuant to a request of, the state or a political subdivision thereof. State explicitly empowers the governor and political subdivisions to accept services and resources offered by private entities for emergency management purposes.","State deems all activities relating to emergency services to be governmental functions. Except in cases of willful misconduct, gross negligence, or bad faith, emergency management workers, including individuals, partnerships, associations, or corporations, complying or reasonably attempting to comply with the pertinent emergency management laws and regulations (see citation in footnote) are not liable for death, injury, or property damage as a result of such activity if serving subject to the control or pursuant to the request of the state or any of its political subdivisions. Emergency workers responding through a mutual aid agreement possess the same immunities they would have if serving in their own jurisdiction. In-state licensed engineers, architects, surveyors, contractors, subcontractors, and persons working under the supervision of such licensed persons providing emergency response services within 90 days of a declared emergency, without compensation, and under the direction of, or in connection with, a community emergency response team, county emergency management agency, or FEMA, are not liable for civil damages for harm to persons or property resulting from their acts or omissions in volunteering their uncompensated professional services if they acted as a reasonably prudent person would under similar circumstances.",Yes,Yes
40,Arkansas,AR,6,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has an enhanced compact. State’s EMAC language includes private entities who contract or volunteer with the party state or local government.,State adopts a statewide opt-out IMAS.,"State broadly defines “Emergency Management” as essentially all non-military activities to minimize damage resulting from disasters, explicitly including engineering functions. State defines “Emergency Responder” to include any paid or volunteer person or entity with special skills that would be beneficial during an emergency who is requested by or authorized to assist a participating jurisdiction with a declared emergency. State explicitly empowers the governor and political subdivisions to accept services and equipment from private entities for emergency management.","State declares all emergency management activities to be governmental functions and, except in cases of willful misconduct, gross negligence, or bad faith, immunizes paid and unpaid volunteer emergency responders who are complying with or reasonably attempting
to comply with applicable laws and regulations (see footnote) from civil liability for harm to persons or property resulting from such activity. Emergency Responders performing emergency preparedness services pursuant to a mutual aid agreement enjoy the same
immunities they would possess in their home jurisdiction. Under certain conditions (see cited statute), duly qualified, registered Emergency Responders can receive workers’ compensation coverage. Absent wanton, willful, or intentional misconduct, architects and professional engineers, licensed under a state’s architecture or engineering licensure laws, respectively, who volunteer their architectural or engineering services, respectively, without compensation other than expense reimbursement, and in relation to a declared emergency, during or within 90 days of the emergency at the request or with the approval of an appropriate public official (see footnote) believed by the professional to be acting in an official capacity, are not liable for civil damages for harm to persons or property resulting
from their acts, errors, or omissions in rendering those professional services related to any structure, building, project utility, equipment, machine, process, piping, or other system.",Yes,Yes
38,American Samoa,AS,9,Not Participtaing in EMAC,"May not provide benefits or protections to any response personnel. Without an agreement in place, public- and private-sector personnel may not be allowed to respond outside of their home jurisdictions in an official capacity during disasters.",No known significant IMAS,<Null>,Territory is not a participating EMAC jurisdiction.,No known significant IMAS.,Territory recognizes professional or skilled qualifications of persons credentialed outside American Samoa when they are rendering emergency services in American Samoa.,"No known legislation extending legal protections to private, non-medical emergency responders.",No,No
51,Arizona,AZ,9,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Individual compacts,"Individual jurisdictions enter into mutual aid agreements with each other, often in the form of a Memorandum of Understanding or Memorandum of Agreement. This approach allows for geographic limitations of each individual agreement and the possibility for variations among individual agreements within a given area.",State has an enhanced compact. State law extends EMAC by authorizing the governor to deploy private personnel as well as public personnel via EMAC.,State authoritizes individual compacts between political subdivisions.,"State defines “emergency worker” as any person, paid or volunteer, registered with a local or state emergency management organization and certified by that organization for the purpose of engaging in authorized emergency management activities or performing emergency functions. State recognizes out-of-state professional, mechanical, or other skilled qualifications of persons rendering those credentialed services in-state in response to an emergency.","Emergency workers engaged in emergency management activities under certain statutorily defined conditions receive the same immunities and disability workers’ compensation benefits as state employees performing similar work. If necessary, under certain statutorily defined conditions the state or its political subdivisions will provide liability coverage, including legal defense, of any emergency worker acting within the course and scope of assigned duties, and engaged in an authorized activity under supervision of the state or its political subdivisions, but not for actions involving willful misconduct, gross negligence, or bad faith. Emergency workers from another state who are rendering aid in Arizona in accordance with any interstate mutual aid arrangement or compact are not liable on account of any act or omission in good faith while so engaged or on account of the maintenance or use of any equipment or supplies in connection with an emergency. Registrants of the Board of Technical Registration (including board-registered or board-certified architects and professional engineers) volunteering professional services to emergency services personnel at the scene of a disaster as part of an authorized Board program are immune from personal liability with respect to acts done and actions taken in good faith within the scope of their authority.",Yes,Yes
14,California,CA,9,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-in program,State creates a mutual aid program but leaves the burden on individual jurisdictions to opt in to the program.,State has a standard compact with no known significant incorporation of private resources into EMAC.,State creates a statewide opt-in system through a Master Mutual Aid Agreement.,"Licensed architects and engineers may register as volunteer Disaster Service Workers for the Safety Assessment Program administered by the California Office of Emergency Services to provide safety assessments of damaged facilities during emergencies. Registered Disaster Service Workers can receive workers’ compensation coverage for injuries/illnesses sustained while performing disaster service (but see cited regulations for details and specific requirements). Volunteers duly enrolled or registered with the Office of Emergency Services, or any disaster council of any political subdivision, and unregistered persons duly impressed into service during a state of emergency or local emergency, if they are complying or attempting to comply with the relevant laws, regulations or orders (see cited statute), have the same degree of responsibility for their actions and enjoy the same immunities as officers and employees of the state or its local governments would have if performing similar work for their respective entities.","Except in cases of gross negligence or willful misconduct, in-state licensed architects and professional engineers (including statutorily defined branches thereof) who voluntarily, without receiving or expecting compensation, provide structural inspection services at the scene of a declared national, state, or local emergency (caused by a major earthquake, flood, riot, or fire, in the case of architects) at the request of an appropriate public official (see cited statutes) acting in an official capacity are not liable in negligence for any harm to persons or property caused by the architect’s or engineer’s good faith but negligent inspection of a structure used for human habitation or a structure owned by a public entity for structural integrity or nonstructural elements affecting life and safety within 30 days of the declared emergency.",Yes,Yes
27,Colorado,CO,8,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact. State law allows its EMAC system to include volunteer health practitioners.,State adopts a Regional and Statewide Mutual Aid System. State also has an all-hazards resource mobilization system. State also utilizes individual compacts.,"State empowers its Office of Emergency Management to contract with private entities for emergency management purposes. State directs its Office of Emergency Management to maintain a database including private sector agencies and organizations which have resources useful during disasters and which elect to be included in the database. State allows any natural person to register as an unpaid Civil Defense Worker with the Office of Emergency Management or local organization for civil defense for the purpose of carrying out disaster preparedness pursuant to the Colorado Disaster Emergency Act. Under certain other statutorily defined conditions (see cited statutes), Civil Defense Workers: (1) can be covered by the Workers’ Compensation Act of Colorado, along with their dependents, and can receive health and funeral benefits under that Act; and (2) can receive compensation for injuries proximately caused by the Civil Defense Worker’s service as a Civil Defense Worker, with or without negligence, where the injury is not caused by the Civil Defense Worker’s intoxication or intentional self-infliction. Local governments and state agencies may nominate a volunteer organization with which they enter into a qualifying memorandum of understanding to be included on the qualified volunteer organization list. When certain statutorily-defined conditions are met, volunteers associated with a qualified volunteer organization may be deemed “qualified volunteers” and may be eligible to receive the benefits and protections provided to Civil Defense Workers (see footnote).","In-state licensed architects, professional engineers, and land surveyors, as well as certain building code officials, who voluntarily and without compensation provide certain statutorily-defined professional services relating to the structural integrity (or nonstructural
element affecting life safety) of a building, structure, or other architectural or engineering system at the scene of an emergency and during a state of emergency are not liable for civil damages for harm to persons or property resulting from their acts or omissions in
performing such services except in cases of gross negligence or willful misconduct.",Yes,Yes
11,Connecticut,CT,1,Enhanced EMAC,"Provides benefits and protections to public-sector response personnel, while also providing some benefits and protections to private-sector response personnel. Private-sector personnel may be allowed to deploy through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has an enhanced compact. The governor may deploy private personnel through EMAC if they are part of a duly organized civil preparedness force or mobile support unit.,State adopts a statewide opt-out IMAS.,"State defines “civil preparedness” broadly as all activities intended to minimize damage resulting from disasters and emergencies. “Civil preparedness forces” are any organized personnel engaged in carrying out civil preparedness functions in accordance with the Civil Preparedness, Emergency Management and Homeland Security chapter of the Connecticut General Statutes (chapter 517).","Personnel serving in civil preparedness forces or mobile support units are given the same immunity as state employees, and can be compensated for their service. While complying or attempting to comply with chapter 517, or with any order or regulation promulgated
pursuant to chapter 517, such personnel are not liable for harm to persons or property resulting from their service except in cases of willful misconduct. In-state licensed engineers rendering their services for emergency relief, without compensation and outside of the normal course of their employment, at the request or with the approval of a public official, are not liable for civil damages for harm to persons or property resulting from such service if it is performed with reasonable care and consistent with professionally recognized standards during or within a period of 90 days following a declared emergency. In-state licensed architects who render their professional services at the request or direction of a public safety official (see footnote), voluntarily and without compensation, while acting in good faith to assist such official evaluating the safety of elements of a built environment (see footnote) in the aftermath of a major disaster or emergency (see footnote), shall be held to the same standard of care applicable to the public safety official who would have performed the evaluation if not for the major disaster or emergency, and shall not be civilly liable for their acts or omissions that occur during the time period that a declaration of a civil preparedness emergency (see footnote) is effective, or for sixty days after the issuance of such declaration, whichever is longer, unless they failed to act as a reasonably prudent public safety official, as applicable to the circumstances, would have acted under the same or similar circumstances.8",Yes,Yes
49,District of Columbia,DC,3,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",District has a standard compact. District empowers the mayor to deploy private volunteer health practitioners through its EMAC system.,Not Applicable: District does not have political subdivisions with building departments that would participate in an IMAS.,No known significant private mutual aid policies.,"No known legislation extending legal protections to private, non-medical emergency responders.",No,No
12,Delaware,DE,3,Standard EMAC,"Provides benefits and protections to public-sector response personnel, but not to private-sector response personnel. Private-sector personnel may not be allowed to respond through EMAC during disasters.",Statewide opt-out program,"State creates a mutual aid program and automatically integrates all of its political subdivisions into it, leaving the burden on jurisdictions to opt out if they so choose. Some states even forego an opt-out provision.",State has a standard compact with no known significant incorporation of private resources into EMAC.,State adopts a statewide opt-out IMAS.,"State authorizes the governor and political subdivisions to accept equipment and services from private entities for emergency management purposes. State defines “Emergency Management” as mitigation, preparedness, response, and recovery functions necessary to save lives and protect property, public health and safety, or avert the threat of a disaster in any part of Delaware, explicitly including engineering, but not including functions for which military forces or other federal agencies are primarily responsible.","Persons responding through an agreement with the state or any political subdivision thereof, where the agreement was entered into as a result of the governor’s declaration of emergency, are given the same immunity protections as government responders, which
does not cover death, injury, or damage that was intentional on the part of the emergency responder, or caused by the wilful or wanton disregard of the rights of others by the emergency responder.",No,No
